building_type,area_sqm,floors,location,quality_grade,foundation_type,roof_type,has_basement,has_elevator,has_parking,labor_rate,material_cost_index,total_cost
Industrial,4863.287008362693,1,Suburban,Standard,Slab,Dome,0,1,0,49.422835231665545,1.3508830595668406,4531943.428972844
Industrial,5372.6353822607,46,Suburban,Premium,Slab,Pitched,0,0,0,24.670777932677986,0.8394672976972621,22358586.036863755
Industrial,613.0530145420264,16,Suburban,Luxury,Slab,Dome,0,0,0,26.769937491561652,1.0585678533078096,1900750.6316628451
Commercial,3432.382354119814,46,Rural,Standard,Concrete,Dome,1,1,1,26.35394449644508,1.1540664558146307,12776228.698320314
Industrial,1430.705301695845,3,Suburban,Premium,Concrete,Dome,0,1,1,43.7761930286401,1.1922440720452263,1856116.7961298423
Commercial,727.4122076804007,35,Urban,Premium,Pile,Flat,0,0,0,25.607218893503543,1.3100306097549437,5122535.557021774
Commercial,9900.606300660458,41,Urban,Standard,Concrete,Flat,0,1,1,21.999794894699182,1.048392006401461,49711767.40805152
Industrial,3291.3030652497573,6,Rural,Luxury,Concrete,Pitched,0,1,1,49.956824197568864,1.228879041272225,5486079.985501246
Commercial,8117.757013960885,25,Rural,Premium,Concrete,Flat,0,1,0,20.744516343354473,1.2097627959536694,26504108.621105228
Industrial,2620.942482161262,13,Suburban,Standard,Slab,Pitched,1,0,0,45.05732180476597,1.1833312704576229,4088385.654459752
Industrial,6846.8769500169,34,Rural,Luxury,Pile,Flat,0,1,0,30.961005246519584,1.2483383051995485,37499622.887246385
Residential,7626.255812907897,8,Urban,Premium,Pile,Dome,1,0,0,45.248463792734455,0.9816144197476535,13018106.397987755
Industrial,5996.823532017658,21,Suburban,Premium,Pile,Flat,0,0,1,36.63861473633435,0.8592541275092404,14763820.240263872
Residential,4768.604266646568,34,Urban,Luxury,Pile,Pitched,0,0,0,47.0489368845908,0.8834901704278204,24545067.81417496
Industrial,4177.2250500579585,4,Suburban,Luxury,Concrete,Flat,0,0,1,47.7857895924388,0.9572076678577308,6652646.043935736
Industrial,3553.7958387756535,25,Rural,Standard,Concrete,Dome,0,0,0,20.272945438423278,1.1501385548659497,5624796.66933843
Residential,9302.338528053477,15,Suburban,Standard,Slab,Pitched,0,1,1,22.262365279783648,1.388309925382214,19777221.20787956
Residential,8323.132137098519,4,Suburban,Premium,Pile,Dome,0,0,0,27.510761887125664,1.2909053394618688,12874985.104135977
Industrial,9653.766415598475,45,Urban,Luxury,Concrete,Dome,0,0,0,40.07946249090505,1.352328422941433,95381986.3347227
Commercial,1330.5425125068928,12,Urban,Luxury,Concrete,Pitched,0,0,1,46.64816589534518,1.045682936748264,4197534.705658924
Residential,7335.588004516078,32,Suburban,Luxury,Slab,Dome,1,1,1,33.798258538818885,1.083257619153985,31071304.154417485
Commercial,9389.570522528275,32,Rural,Premium,Slab,Dome,0,1,1,38.20919348822797,1.075577320193429,35643088.964658365
Commercial,1894.2073550400355,28,Rural,Luxury,Slab,Flat,1,1,0,25.654995583866835,0.9343112290831511,7033374.538481114
Commercial,758.3130469310972,13,Urban,Luxury,Concrete,Dome,0,1,1,44.14900501645056,0.8428516607005004,1995571.30513402
Residential,7437.094427971585,31,Rural,Premium,Concrete,Dome,1,1,1,49.01984334060409,1.2136412649790587,20625298.358499046
Commercial,5787.283820481128,14,Urban,Standard,Slab,Dome,0,1,1,28.057967987437923,1.4924516783944104,16188700.781046461
Residential,8434.104889906894,20,Rural,Standard,Pile,Dome,0,1,1,34.84477854801639,0.916780793465184,9938191.857629487
Commercial,1483.746528600266,18,Suburban,Premium,Slab,Pitched,0,0,1,22.583483315191213,0.8326793739294917,3923943.8387829904
Industrial,7973.146387412913,29,Urban,Luxury,Slab,Flat,1,0,1,36.774099693889056,1.345672177276753,62020202.18594603
Industrial,2096.1104684726706,6,Urban,Premium,Slab,Dome,1,1,1,35.083503255400416,0.976810204679307,3441263.179548873
Residential,1720.1938343704746,32,Suburban,Standard,Slab,Dome,1,0,1,24.333094524652328,1.38075066374705,5544937.507906186
Industrial,1726.2313995168302,29,Urban,Standard,Concrete,Pitched,1,0,1,33.26198639354225,1.2927556669241609,6330715.61700807
Industrial,8164.289730290683,43,Rural,Premium,Pile,Dome,0,1,0,30.023139562596896,1.461971475935563,46184923.434686884
Commercial,6685.452484892381,2,Rural,Premium,Slab,Pitched,0,0,0,35.65492625915568,1.0862490650296706,6770144.424392844
Residential,5278.347705214282,23,Urban,Standard,Pile,Flat,0,0,1,37.56963006286398,1.263378887615444,14863341.161161715
Commercial,3652.421792822675,19,Rural,Premium,Pile,Flat,1,1,0,20.254867358216284,1.1253983465692894,10884593.978531929
Commercial,8784.285354049773,31,Urban,Standard,Pile,Dome,0,0,0,42.830179488486664,1.2414120881159805,35162335.23661175
Commercial,3985.20656348409,5,Suburban,Premium,Slab,Dome,1,1,1,41.39042875585223,1.1147192342054162,7081576.323128865
Commercial,8184.334450768613,19,Urban,Premium,Concrete,Dome,1,1,1,30.988591586195668,0.9320425724968524,31177573.274448164
Commercial,4447.435594845162,34,Suburban,Premium,Slab,Pitched,1,0,1,21.588078067064547,1.1555281912023667,21927556.568797246
Commercial,3831.7498513065852,10,Rural,Standard,Pile,Dome,1,0,1,42.647976193551514,1.1700089410062096,4241212.783531969
Commercial,4680.529878129104,25,Suburban,Premium,Pile,Dome,1,0,1,48.65525481434398,1.3674226937821128,19854093.355827603
Residential,3083.6409542250067,2,Rural,Standard,Concrete,Flat,0,1,1,27.204547880660428,1.3148644940555068,1881838.6184810526
Industrial,7501.332863744886,11,Urban,Standard,Slab,Dome,1,1,0,29.70573841211114,1.264654136759011,15158038.268896207
Commercial,5076.931861915544,31,Rural,Premium,Pile,Flat,1,1,1,25.51438668445445,0.8793709668868008,15084024.232288431
Commercial,2398.9056819534912,15,Urban,Premium,Concrete,Dome,0,0,0,37.30808370034519,1.3044314034646005,9340125.253200507
Commercial,9005.788275418228,9,Urban,Standard,Pile,Flat,1,0,1,24.645241839423647,1.1502136094481603,15627032.022923054
Commercial,3900.523091594793,23,Suburban,Standard,Concrete,Dome,1,1,1,30.685818303841383,1.4258696752743114,12518660.445036363
Commercial,5481.173325028487,19,Suburban,Luxury,Concrete,Flat,0,0,0,40.91039041802789,1.4439096538913798,26777308.711731587
Commercial,9074.073898549015,9,Suburban,Standard,Slab,Pitched,0,0,1,36.80347949028045,0.8386096134212498,9497730.685580494
Industrial,6279.956159548522,35,Suburban,Luxury,Pile,Flat,0,1,1,31.593876929838057,1.3744490922481352,44101482.36749454
Industrial,1257.2906030128042,21,Rural,Luxury,Slab,Flat,1,1,0,32.60748805422626,0.8263881732958694,3191924.056831246
Commercial,9404.338023773404,9,Rural,Luxury,Pile,Flat,0,0,1,36.863326478696884,1.057018737986516,20611814.21250625
Industrial,6314.309725407037,28,Rural,Premium,Slab,Dome,0,1,0,20.17594183661484,1.1796099829347555,18861731.150241923
Residential,3415.5655851051524,46,Urban,Premium,Pile,Dome,0,0,1,22.355296053608296,0.9036705590389893,13477557.232143296
Commercial,1478.793519367534,7,Rural,Standard,Slab,Dome,1,1,1,46.43774203289035,1.3224196687983538,2111184.3264277815
Residential,7960.84937377593,16,Rural,Luxury,Concrete,Pitched,0,1,0,22.336369672738723,0.8058482929204971,13627118.518310605
Residential,6238.720283692284,16,Rural,Premium,Pile,Pitched,1,1,1,41.20410788631516,0.9180193339038258,9934448.73680786
Commercial,5381.2648105655835,33,Suburban,Premium,Pile,Flat,1,0,0,47.601144923271576,1.206557780897433,33156706.33531746
Industrial,8949.53657220448,4,Rural,Premium,Concrete,Pitched,0,0,0,28.120508129051935,1.3000712934261047,11727181.86335728
Residential,7907.112391122854,4,Urban,Premium,Slab,Flat,1,1,0,31.11474311178543,1.4416501718857413,16227199.126087762
Commercial,1601.5813093542367,39,Suburban,Premium,Pile,Flat,1,1,1,37.06764217534149,1.2938476563542367,10918409.433088753
Residential,3186.0484711759273,40,Urban,Luxury,Pile,Flat,0,1,1,46.45126908915754,1.2702454891784063,25481361.68984817
Residential,2560.0424841632107,17,Rural,Luxury,Slab,Pitched,1,0,0,48.257167617812605,1.076038802445465,6397686.690463982
Residential,7465.0682964695025,37,Suburban,Luxury,Concrete,Dome,0,1,1,42.18689744333804,0.800899097868761,30723345.613229997
Residential,431.9711038842159,39,Urban,Luxury,Slab,Pitched,1,1,1,22.59859282564082,0.8841114811149354,2901179.685481928
Industrial,5741.907880226034,29,Rural,Standard,Slab,Flat,1,1,1,40.07462466604552,1.1741881813292274,15919084.621517114
Residential,7648.340988832836,36,Urban,Luxury,Slab,Flat,0,1,0,32.309111656179866,1.2725909200910939,56945412.957174994
Residential,8779.97980394132,38,Urban,Premium,Pile,Pitched,0,0,1,34.12102998473185,1.0922137987275238,33156865.497161668
Residential,3486.609312287484,39,Urban,Luxury,Concrete,Flat,1,0,0,21.47445171035531,1.3114753080698731,25544351.754324306
Industrial,8230.447316252928,37,Rural,Standard,Concrete,Flat,1,1,1,25.731864180390744,1.165303606732525,25843105.44230381
Residential,1195.2541958565516,35,Rural,Premium,Slab,Pitched,0,0,1,43.71540822600943,0.8519233369160186,3005833.5283497227
Residential,8479.87768817173,7,Urban,Luxury,Pile,Pitched,1,0,0,33.618764991435796,0.9344113756775643,17695662.580725778
Industrial,1362.137757086626,27,Suburban,Luxury,Slab,Pitched,1,0,1,29.049867248934465,1.38799875627076,8103771.491981263
Industrial,4033.144176547636,28,Suburban,Luxury,Pile,Flat,1,1,0,31.520572218948743,1.3074389226371077,21003519.61659315
Industrial,7993.22412121758,22,Rural,Premium,Pile,Flat,1,0,1,45.63198539977041,1.4263333909087463,30115291.84758994
Residential,1584.1825307528604,14,Rural,Premium,Pile,Dome,0,0,0,42.46997052214871,0.8822900743846557,1847012.7231859353
Industrial,2369.5888128031506,7,Rural,Standard,Pile,Dome,0,0,1,28.169461915432485,1.493155774230552,2896354.694430493
Industrial,7250.300427091356,37,Rural,Premium,Concrete,Pitched,0,1,1,23.5250552063712,0.9465846997649535,19457135.01753904
Residential,7228.361711806137,22,Rural,Premium,Pile,Dome,0,1,1,27.55994664932215,0.8082459134006494,11531010.648874741
Industrial,6447.3615655644435,5,Suburban,Luxury,Pile,Flat,0,0,0,47.622693531642014,1.498196057337488,17520607.24903325
Residential,6970.08960022429,2,Rural,Premium,Slab,Dome,0,0,0,37.447665135492656,0.9967517198115792,4877262.034898759
Commercial,5472.971989141202,27,Urban,Luxury,Slab,Flat,1,1,0,36.00440626234349,1.267613616758792,41711821.61310946
Industrial,2592.8106831788323,21,Urban,Luxury,Concrete,Pitched,0,1,1,37.89180799077384,0.9236776199234137,10306849.43554886
Commercial,3522.3903356888027,38,Suburban,Premium,Slab,Pitched,1,0,0,30.98084797239546,1.2061599725393992,18088220.502884284
Residential,1897.8173963341142,15,Urban,Standard,Pile,Flat,1,0,0,44.21321060958538,1.4328244905181915,3630039.896185082
Industrial,9093.66055720292,21,Suburban,Standard,Slab,Dome,1,1,0,35.69858747900749,1.0241268171999072,18399440.310314007
Residential,5875.578768184592,10,Suburban,Premium,Concrete,Pitched,0,1,0,23.502437083063867,1.2691777832310516,11034862.138263928
Commercial,4068.429025960035,23,Urban,Standard,Slab,Pitched,1,0,0,23.871953744871888,0.9315325121588915,10966536.945246486
Residential,4673.857456076914,39,Rural,Luxury,Slab,Dome,0,1,0,36.105774395078555,1.2373567791031077,25961364.54801985
Industrial,9478.105062156972,5,Urban,Luxury,Concrete,Dome,1,0,0,48.097106542125175,1.0355152462722572,22850614.845358096
Industrial,1618.178890849194,1,Urban,Premium,Concrete,Flat,1,0,0,29.25056365028596,0.9478457810115661,1469512.053480457
Commercial,5903.675336966293,13,Suburban,Standard,Pile,Dome,0,0,0,46.08623506577655,1.0192274354925446,8367949.866435639
Residential,5108.297920956214,21,Urban,Standard,Slab,Dome,1,1,0,42.92286759736638,0.9251887479554596,10018140.808805762
Industrial,6153.396930803014,26,Suburban,Luxury,Pile,Dome,1,0,1,27.434373287207205,1.4313412754865178,39420196.922609955
Commercial,279.290819826321,45,Rural,Premium,Slab,Flat,1,0,1,21.090222449487275,1.0780308204219902,1694535.8071342052
Industrial,8734.026698547099,21,Rural,Standard,Slab,Flat,1,1,0,23.055417954271483,0.9716955134820572,11383177.125467049
Industrial,9327.970996587763,18,Rural,Premium,Pile,Pitched,0,1,1,41.854818015423206,1.1138854887111531,22529370.155468035
Residential,5694.818517533168,37,Urban,Standard,Slab,Flat,1,0,1,25.9900921412194,1.0243753167645469,18274755.671398897
Industrial,6996.843156381234,45,Suburban,Luxury,Slab,Pitched,1,0,0,31.138127615161814,1.3210934776693282,49087892.29983295
Residential,9232.743873655227,32,Rural,Luxury,Slab,Dome,0,1,0,35.05097498019275,1.4798539383198461,44694938.58995417
Industrial,7101.662479702646,36,Suburban,Premium,Concrete,Pitched,1,1,0,41.76404505350489,1.106623559688353,33101875.378598806
Commercial,1610.1365248511872,17,Suburban,Luxury,Pile,Pitched,1,1,1,23.39693669777376,1.4027233799805683,7254677.23709711
Industrial,5805.254765651451,35,Rural,Standard,Concrete,Dome,1,0,0,32.190992158323844,1.1961041514917337,11442053.894208878
Residential,6106.478959190274,49,Rural,Luxury,Pile,Pitched,1,0,1,34.55218727428086,0.9100649655659635,23144960.617698092
Residential,4298.893645893621,11,Suburban,Premium,Pile,Flat,0,0,0,36.22481191914619,1.2834359194569391,8915016.195787612
Commercial,7390.797932684756,21,Rural,Premium,Slab,Flat,1,1,1,44.5508192418565,1.1594041479880741,21748692.366053317
Industrial,9350.233446213248,26,Suburban,Premium,Pile,Flat,0,0,1,25.150345851296507,1.2554245662764725,33356047.788954712
Industrial,9263.128277777085,4,Suburban,Standard,Concrete,Flat,1,1,0,44.23494355479867,1.4227811888001654,10332482.567601902
Commercial,4563.309776900908,34,Rural,Standard,Concrete,Pitched,1,0,0,40.78635283089957,1.1083041994592322,10419882.528155718
Industrial,1221.056653823477,48,Urban,Standard,Concrete,Pitched,1,1,1,36.67612442596878,1.4308243362521489,7040975.629108361
Industrial,9849.927869727113,18,Rural,Standard,Pile,Dome,0,0,1,40.98583611207716,1.3254683099971585,13419781.617495459
Residential,8405.091055814748,40,Urban,Standard,Concrete,Pitched,1,0,0,32.360532168549696,1.1420234481145894,33827236.886392586
Industrial,1334.1605439123418,35,Suburban,Luxury,Pile,Pitched,1,1,0,24.151927579043736,1.2222554949605746,10207111.708246324
Industrial,9216.334637911987,41,Suburban,Standard,Concrete,Pitched,0,1,1,39.97295720796102,1.027906792763308,21423993.232053924
Commercial,8711.97398441507,29,Urban,Standard,Concrete,Dome,0,0,0,35.740169200568666,1.488518109817142,37597802.63326347
Commercial,5236.496765548114,29,Suburban,Luxury,Pile,Flat,0,1,1,39.181244016283266,1.2671458141352772,33915834.75841684
Residential,5953.626813874799,38,Urban,Standard,Concrete,Pitched,0,1,0,30.1399634308547,0.830692796747641,14414749.860601777
Industrial,4050.1267683142896,42,Urban,Premium,Slab,Dome,1,0,0,47.20599732019508,1.028635334023606,24774847.884120073
Industrial,642.1402243381102,21,Suburban,Standard,Pile,Dome,1,1,0,37.62109605726731,1.2363201036313403,1395652.377490305
Industrial,3418.452692294419,42,Urban,Standard,Pile,Dome,1,0,1,22.562074528726214,0.8394332944594679,10454488.522175575
Residential,8048.249141120314,13,Rural,Premium,Pile,Flat,1,0,0,33.49411972113286,0.8167189339234,12361907.59402007
Residential,145.8570277455683,49,Rural,Premium,Slab,Pitched,0,1,1,42.69068164230903,1.115016967669462,598120.94002046
Commercial,3401.6417997423273,41,Suburban,Premium,Pile,Dome,1,1,0,43.824036851968174,1.032883125784869,22232012.346541137
Residential,4041.870066550339,17,Suburban,Premium,Concrete,Flat,1,0,1,34.83791158291277,1.1068090256232161,10189222.410181886
Industrial,5420.216469085436,9,Urban,Standard,Concrete,Dome,1,0,1,46.842427124939036,0.9838853169160037,6765648.622156775
Industrial,9206.570602486328,41,Urban,Premium,Concrete,Dome,1,0,0,28.030053115828927,0.9153024228600867,41454415.37424875
Residential,3528.8253442230166,1,Urban,Premium,Pile,Dome,0,0,1,32.317960917148,1.2824003498862364,4566392.082334854
Industrial,3534.836698772654,2,Urban,Luxury,Concrete,Dome,1,0,1,46.9579073170691,1.1601997813874605,6173664.883435169
Industrial,7401.262356286509,48,Rural,Premium,Pile,Dome,1,0,1,46.887701494147365,0.9401079478745569,26061978.71455031
Residential,4576.957614809091,29,Rural,Premium,Concrete,Flat,1,1,1,40.57138306474043,1.0237125983819988,11583084.667637074
Residential,2323.5877471058216,33,Suburban,Luxury,Slab,Pitched,0,1,0,45.769416413666605,1.2142655353643281,12862781.554138746
Industrial,4579.151209713665,10,Urban,Luxury,Slab,Pitched,0,1,0,22.66319800868698,0.8505605437907345,12524752.170978915
Industrial,1494.4845017600187,40,Urban,Standard,Slab,Pitched,1,0,0,45.94984928623329,0.9032171064863257,4450386.009145651
Industrial,1846.2311664116107,21,Suburban,Luxury,Slab,Pitched,1,1,1,29.618597196506805,0.8512719228751732,6184864.232686557
Commercial,5033.84095012085,28,Urban,Standard,Pile,Flat,1,0,1,25.34994537284649,1.3686221328998833,18309869.009631645
Commercial,4247.361950095024,11,Urban,Luxury,Concrete,Flat,0,0,0,27.18109509026139,1.3266864632484063,20417281.847929902
Commercial,9156.97442057419,34,Urban,Luxury,Slab,Flat,1,1,0,32.539055240416616,1.32731905231548,74691847.69496815
Residential,3687.699601254668,8,Urban,Standard,Pile,Dome,1,0,1,27.535760138134016,1.3014277404332195,5994427.183603454
Commercial,5847.82466775263,22,Urban,Luxury,Slab,Dome,1,0,0,29.61702758049497,1.2685697965689084,38569478.0587368
Residential,6359.416450403351,8,Suburban,Standard,Slab,Dome,0,0,0,24.049354582149263,1.1338943407647224,6411514.155211045
Residential,229.635120224503,49,Urban,Luxury,Pile,Pitched,1,0,1,28.885302966769956,1.2495947144549806,2110523.049502865
Commercial,6669.019982965435,15,Suburban,Premium,Pile,Dome,1,0,0,37.16851443626004,0.8268530883515823,12276682.196479728
Commercial,1862.556072010539,17,Urban,Luxury,Concrete,Pitched,0,0,1,33.255611242731916,1.2350250958597493,8649033.083406784
Commercial,9614.596142947606,23,Rural,Standard,Concrete,Dome,0,1,0,30.401562837077336,1.344514393875814,24759442.062365573
Industrial,1571.7610047558182,24,Rural,Luxury,Slab,Pitched,1,0,1,42.39356386571342,1.150250852269073,5800270.292230611
Commercial,4204.778824897535,45,Rural,Standard,Slab,Dome,0,0,1,46.80529914179954,1.050259329899066,12486455.597194336
Industrial,944.9617139785742,19,Rural,Standard,Concrete,Dome,1,0,1,42.70367668707191,0.9941987143606854,1340816.6143139463
Residential,9969.05509327488,5,Suburban,Premium,Concrete,Flat,0,0,1,29.960021063530377,1.2499614351134578,14443785.02291088
Industrial,5071.730602279302,32,Suburban,Premium,Pile,Dome,0,1,1,42.333265035126615,1.2849608390409362,21842788.285785273
Commercial,5994.311671468434,44,Urban,Standard,Concrete,Dome,1,1,0,24.559405474221535,1.4096773199037798,47965246.79754407
Residential,764.0571261454321,1,Rural,Luxury,Concrete,Flat,1,0,0,23.90953964273873,1.0396338577226936,788339.1279269006
Residential,7524.60865695186,23,Suburban,Standard,Slab,Pitched,1,0,0,30.368811111084767,1.33884061516991,17675421.967822686
Residential,2178.065371646299,37,Urban,Standard,Concrete,Flat,0,0,1,44.23107107132171,1.1929490769325366,7089947.372376055
Industrial,8990.737465463066,8,Urban,Luxury,Slab,Flat,1,1,0,27.390447417269055,1.4179855434746553,35880925.66448861
Commercial,2130.882440771871,13,Suburban,Luxury,Concrete,Pitched,1,1,1,21.897602266960387,1.1694684758069345,7572167.205960451
Residential,1987.8084345702991,8,Rural,Luxury,Pile,Dome,1,1,1,23.951286056190654,1.162340879878577,3350299.077314903
Residential,461.8417116961393,23,Urban,Luxury,Concrete,Pitched,1,1,0,45.762349055887405,1.2045139570086363,2785895.0039991057
Residential,4773.462756588992,43,Rural,Standard,Concrete,Dome,1,0,1,39.01349854241863,1.3245207485997041,14399512.958310433
Industrial,5691.927219299902,1,Rural,Standard,Concrete,Dome,0,1,0,27.5960349010993,1.4752833351799226,3866623.50732089
Industrial,750.5155303406884,45,Rural,Premium,Slab,Pitched,1,1,1,36.65887475984544,0.851494347951036,2560481.4283470297
Commercial,7777.723405280604,24,Urban,Standard,Pile,Flat,1,0,1,35.82738867276051,0.8374042216737121,20071870.04241911
Industrial,4587.559464005473,35,Rural,Luxury,Concrete,Pitched,0,0,0,39.66307935321984,1.456285236185137,28099536.259713873
Residential,5291.463666343042,24,Urban,Premium,Slab,Dome,1,1,1,26.995626632648488,1.1709129378627443,22952176.76227305
Commercial,4463.551194688459,17,Rural,Luxury,Pile,Pitched,1,1,0,45.93208961583193,1.2304321101968552,14594589.978527253
Residential,4067.5543026657274,5,Urban,Standard,Slab,Pitched,1,1,1,29.281056862400384,1.1376965211163101,5030479.307365773
Residential,5640.439279951357,20,Rural,Premium,Slab,Dome,1,1,0,40.823949619287106,0.8655602168252322,9333883.074038772
Industrial,1636.8784347140538,21,Suburban,Luxury,Pile,Flat,1,0,1,20.483739391166445,1.3376625648930665,8067877.768239585
Commercial,1901.0884919031841,40,Rural,Premium,Concrete,Pitched,0,0,0,31.179713896824417,1.3230572515620107,10995920.856828751
Industrial,8631.677648033821,31,Rural,Premium,Slab,Dome,0,1,0,30.55129453876425,1.0181923250449685,26217087.476997327
Industrial,9466.543075122963,46,Urban,Standard,Slab,Dome,0,1,1,36.304532857490436,1.0143674716598803,38595849.02285213
Commercial,3795.762231169554,36,Urban,Luxury,Concrete,Pitched,1,1,0,22.182087853315895,1.3864889666338631,32740270.26296652
Residential,2780.3722641211825,11,Rural,Premium,Concrete,Flat,0,1,1,43.703941211783246,0.8506500804189286,3116601.0057533197
Residential,6475.595478066256,15,Suburban,Premium,Pile,Pitched,1,1,1,26.533424053027055,1.4167736038495962,17487139.459410504
Commercial,4146.468293871154,19,Suburban,Luxury,Pile,Flat,1,0,0,40.31113444646031,0.9796631829271402,17223350.567043025
Residential,351.32492103741413,7,Urban,Premium,Pile,Flat,1,0,0,44.0963636973228,1.2150893234288458,753760.6263463644
Commercial,1645.9107139252847,28,Suburban,Premium,Concrete,Flat,0,0,0,36.856308687245395,1.4551959253012443,8605908.912541289
Commercial,7188.125065589235,43,Rural,Premium,Slab,Flat,0,1,0,42.226496201659565,1.2746857510756526,36412105.19154595
Industrial,6623.3470249104985,5,Urban,Luxury,Slab,Pitched,0,1,0,39.85580936645017,1.0901008687269256,17016312.328890145
Commercial,368.25032578448656,5,Rural,Luxury,Pile,Dome,1,0,1,30.66589391456023,1.2826739462337906,741576.3808695643
Industrial,2297.5244031361995,30,Urban,Luxury,Concrete,Dome,0,0,0,44.265756171006956,1.040785745421459,11117510.86393879
Residential,2387.640486221907,32,Urban,Luxury,Slab,Dome,1,1,1,28.84104109656584,0.9940808914444303,12097362.724194193
Residential,6751.7381616274115,8,Urban,Standard,Pile,Dome,0,0,0,37.13638753254551,1.4976782945542757,10314777.713222045
Residential,295.13432376820515,10,Urban,Premium,Slab,Dome,0,1,0,42.361932174246185,1.3255531618258514,662838.9558077046
Residential,1130.674961647281,38,Suburban,Luxury,Slab,Dome,1,1,0,31.368677294375228,1.2513039841672724,7965510.102278722
Industrial,8019.169245194575,47,Rural,Premium,Concrete,Pitched,1,0,1,29.08302822852275,1.048702750253523,26436308.56698299
Residential,1867.5921543379027,32,Rural,Premium,Concrete,Flat,0,0,0,33.78038030518468,0.8344125804085337,3580439.331877799
Commercial,6562.18646773356,48,Rural,Standard,Slab,Dome,0,0,1,44.53890483047461,0.821739813224609,16509985.909665937
Commercial,2458.0095323625924,28,Urban,Luxury,Pile,Pitched,0,1,1,47.89765289436994,1.1879268788141593,18567570.36900849
Commercial,1084.4697883175172,17,Suburban,Luxury,Concrete,Dome,1,1,1,36.352502385796704,1.3334229047273358,6546389.662788702
Industrial,2507.4046908945957,31,Rural,Premium,Slab,Dome,1,0,0,39.84398615970956,1.1761654333106986,9674149.985965505
Residential,7250.442625371025,8,Suburban,Luxury,Concrete,Flat,0,1,1,47.09820866716743,1.3885495503573801,15991049.811444676
Residential,8571.39503425223,40,Urban,Premium,Concrete,Flat,0,1,0,22.95640554238827,0.8233985731652552,26470653.35690741
