building_type,area_sqm,floors,location,foundation_type,roof_type,has_basement,has_parking,labor_rate,total_cost
Industrial,1232,2,Suburban,Concrete,Pitched,1,0,7700,6526760
Commercial,6673,2,Suburban,Slab,Flat,0,1,4600,28004555
Industrial,12025,1,Urban,Slab,Flat,1,1,12100,36280990
Residential,5752,16,Urban,Pile,Pitched,0,1,11700,50000000
Industrial,10732,8,Suburban,Concrete,Flat,1,1,10300,50000000
Commercial,7890,1,Suburban,Pile,Flat,0,0,6000,17597737
Residential,997,19,Urban,Concrete,Dome,0,1,13200,50000000
Residential,2965,9,Rural,Pile,Dome,0,1,7800,50000000
Industrial,12099,10,Urban,Slab,Pitched,0,1,5000,50000000
Residential,12942,20,Rural,Pile,Flat,1,0,5500,50000000
Commercial,11652,5,Urban,Pile,Flat,0,1,12100,50000000
Commercial,5390,4,Rural,Concrete,Dome,1,1,10400,50000000
Commercial,6551,10,Urban,Slab,Pitched,1,1,10200,50000000
Residential,1232,12,Urban,Pile,Pitched,1,0,6500,24077096
Commercial,7259,11,Suburban,Concrete,Pitched,1,1,12900,50000000
Residential,9315,16,Rural,Concrete,Flat,0,1,9600,50000000
Commercial,3415,2,Urban,Slab,Flat,0,1,5000,16623648
Industrial,6957,10,Suburban,Pile,Flat,1,1,4100,50000000
Residential,11612,4,Rural,Slab,Pitched,1,1,6400,50000000
Commercial,8772,18,Rural,Pile,Flat,0,0,13800,50000000
Industrial,8757,8,Rural,Concrete,Pitched,1,1,4500,50000000
Commercial,9870,14,Rural,Concrete,Pitched,0,0,6500,50000000
Residential,821,13,Rural,Slab,Flat,1,1,10800,25248731
Commercial,1048,20,Urban,Pile,Flat,0,0,5700,50000000
Commercial,11448,14,Suburban,Slab,Pitched,0,1,6300,50000000
Residential,4281,11,Rural,Concrete,Pitched,1,1,14000,50000000
Industrial,12366,3,Rural,Slab,Dome,0,0,10900,50000000
Industrial,2065,4,Urban,Slab,Dome,0,1,4900,17557770
Residential,10918,3,Rural,Pile,Pitched,0,1,12200,50000000
Industrial,13682,16,Suburban,Pile,Pitched,1,0,3000,50000000
Residential,3956,16,Suburban,Pile,Pitched,1,1,4900,50000000
Commercial,9784,11,Rural,Concrete,Flat,0,1,11800,50000000
Residential,3477,8,Suburban,Slab,Dome,1,1,13200,50000000
Industrial,10984,10,Rural,Pile,Flat,1,1,4200,50000000
Commercial,14752,10,Suburban,Pile,Dome,0,1,3900,50000000
Commercial,2364,6,Urban,Slab,Flat,1,1,9400,50000000
Residential,7397,4,Suburban,Pile,Pitched,1,0,8100,50000000
Residential,2940,15,Rural,Concrete,Pitched,0,1,3000,50000000
Commercial,13057,7,Rural,Pile,Dome,0,1,5400,50000000
Commercial,392,12,Urban,Concrete,Pitched,0,0,11400,15638619
Commercial,2934,6,Rural,Slab,Dome,1,0,14500,50000000
Residential,8266,2,Urban,Pile,Dome,0,0,13500,50000000
Commercial,898,13,Suburban,Slab,Flat,1,1,7000,27891196
Industrial,9971,20,Urban,Pile,Flat,0,1,4500,50000000
Commercial,9527,17,Urban,Concrete,Flat,1,0,7300,50000000
Residential,3392,8,Rural,Pile,Dome,0,0,12600,50000000
Residential,10972,10,Urban,Concrete,Pitched,1,1,8600,50000000
Commercial,12956,17,Suburban,Concrete,Pitched,0,0,4200,50000000
Residential,3053,9,Suburban,Slab,Dome,0,1,3000,50000000
Residential,3326,10,Urban,Slab,Flat,0,1,4100,50000000
Commercial,6355,18,Rural,Pile,Pitched,0,1,8000,50000000
Residential,14875,13,Suburban,Pile,Flat,1,0,11800,50000000
Residential,6508,5,Suburban,Slab,Dome,0,1,7700,50000000
Residential,4694,9,Suburban,Slab,Dome,1,1,13600,50000000
Industrial,12152,1,Urban,Pile,Flat,1,1,8200,37939116
Commercial,3348,20,Rural,Pile,Pitched,0,0,5100,50000000
Residential,8571,12,Rural,Concrete,Dome,0,1,4000,50000000
Commercial,3098,5,Urban,Slab,Dome,0,1,13000,50000000
Residential,2023,10,Rural,Slab,Flat,1,1,7900,38394208
Residential,9814,16,Urban,Slab,Pitched,0,1,9200,50000000
Commercial,837,14,Urban,Concrete,Flat,0,0,3600,32626230
Industrial,13848,11,Urban,Slab,Dome,1,1,6100,50000000
Residential,8373,9,Suburban,Slab,Dome,0,0,3200,50000000
Commercial,9537,20,Urban,Slab,Dome,1,1,3700,50000000
Commercial,13674,15,Suburban,Slab,Dome,1,1,12800,50000000
Industrial,14551,1,Suburban,Slab,Flat,0,0,6400,30349460
Industrial,5640,17,Urban,Slab,Dome,1,1,13600,50000000
Commercial,6871,10,Rural,Slab,Dome,1,1,4900,50000000
Residential,10362,12,Rural,Pile,Pitched,1,1,5200,50000000
Industrial,9276,9,Rural,Concrete,Pitched,0,0,8400,50000000
Residential,4952,1,Rural,Concrete,Flat,0,0,9300,10547291
Commercial,12102,8,Rural,Pile,Pitched,0,1,3200,50000000
Residential,5976,14,Urban,Concrete,Pitched,0,0,10000,50000000
Residential,2159,6,Suburban,Pile,Flat,1,0,13300,44574747
Industrial,12529,2,Suburban,Pile,Dome,0,1,14500,50000000
Industrial,8442,2,Suburban,Pile,Flat,0,1,11900,48216616
Commercial,2054,9,Suburban,Slab,Pitched,1,1,5800,50000000
Residential,5800,20,Rural,Concrete,Pitched,0,1,4300,50000000
Industrial,1856,5,Urban,Concrete,Flat,0,0,9400,23470698
Residential,1732,4,Urban,Slab,Pitched,0,1,9200,17286636
Residential,12728,4,Suburban,Slab,Pitched,1,1,10900,50000000
Commercial,3872,20,Urban,Pile,Pitched,1,0,4700,50000000
Commercial,3470,15,Urban,Pile,Flat,0,1,5100,50000000
Commercial,2243,13,Suburban,Pile,Dome,0,1,11500,50000000
Commercial,5410,12,Rural,Pile,Dome,1,0,11700,50000000
Industrial,5263,10,Urban,Pile,Pitched,1,1,4000,50000000
Industrial,2442,13,Rural,Slab,Dome,0,1,4500,50000000
Industrial,6737,9,Rural,Pile,Dome,0,0,10300,50000000
Commercial,14985,2,Rural,Pile,Flat,0,1,8700,50000000
Industrial,619,18,Rural,Pile,Pitched,0,1,10000,26286599
Residential,12152,11,Rural,Slab,Pitched,0,1,11700,50000000
Industrial,13374,16,Suburban,Pile,Flat,0,1,9900,50000000
Residential,9687,10,Urban,Pile,Pitched,0,1,14500,50000000
Commercial,4155,10,Rural,Slab,Dome,0,1,6000,50000000
Residential,10323,16,Urban,Slab,Flat,1,0,3000,50000000
Commercial,894,1,Urban,Concrete,Flat,0,1,10200,3464929
Residential,1222,6,Suburban,Concrete,Dome,0,1,14600,25829868
Commercial,12068,10,Rural,Slab,Flat,0,1,5900,50000000
Residential,6977,2,Urban,Pile,Pitched,1,1,11700,47217961
Commercial,8060,12,Rural,Concrete,Dome,1,0,4800,50000000
Residential,6432,20,Suburban,Slab,Pitched,1,1,5200,50000000
Commercial,5805,9,Suburban,Concrete,Flat,0,0,4300,50000000
Residential,5097,7,Rural,Concrete,Dome,0,0,13200,50000000
Industrial,7097,15,Rural,Slab,Dome,1,0,9700,50000000
Residential,14618,13,Urban,Concrete,Flat,0,1,9000,50000000
Commercial,11396,4,Urban,Slab,Flat,0,1,3700,50000000
Residential,7471,18,Urban,Concrete,Pitched,1,1,11600,50000000
Residential,5708,10,Suburban,Pile,Dome,0,0,7200,50000000
Residential,13811,18,Rural,Pile,Pitched,0,1,10600,50000000
Commercial,1794,7,Urban,Pile,Pitched,1,1,7400,42572468
Commercial,12712,18,Rural,Slab,Dome,0,0,7000,50000000
Commercial,3855,16,Rural,Pile,Pitched,0,0,11300,50000000
Commercial,8202,16,Urban,Pile,Pitched,0,1,10900,50000000
Commercial,2310,10,Rural,Pile,Flat,1,0,12900,50000000
Commercial,10286,20,Urban,Slab,Dome,0,0,14100,50000000
Commercial,6216,15,Rural,Concrete,Dome,0,0,3900,50000000
Industrial,9955,13,Rural,Slab,Pitched,1,1,3300,50000000
Commercial,11519,19,Suburban,Concrete,Flat,1,1,10200,50000000
Commercial,11247,6,Rural,Pile,Pitched,0,1,11800,50000000
Residential,8248,5,Urban,Concrete,Dome,0,1,8100,50000000
Industrial,10718,10,Urban,Concrete,Flat,0,1,4300,50000000
Commercial,12748,7,Suburban,Slab,Dome,1,1,3100,50000000
Residential,659,2,Suburban,Pile,Dome,0,1,4800,2806484
Commercial,11843,4,Urban,Concrete,Pitched,0,0,3600,50000000
Commercial,1506,7,Suburban,Slab,Flat,1,1,3700,19643449
Commercial,11197,14,Suburban,Slab,Pitched,0,1,12600,50000000
Industrial,5627,18,Rural,Concrete,Dome,0,1,11100,50000000
Residential,7786,6,Urban,Concrete,Flat,1,1,14700,50000000
Industrial,2001,10,Urban,Concrete,Flat,0,1,7700,48815146
Industrial,7088,19,Suburban,Slab,Dome,1,1,3800,50000000
Industrial,12189,19,Urban,Slab,Pitched,1,0,14400,50000000
Commercial,11514,20,Urban,Concrete,Flat,0,1,12600,50000000
Residential,11201,7,Rural,Slab,Flat,0,0,13000,50000000
Industrial,11959,1,Suburban,Slab,Flat,0,1,12500,34999762
Residential,2932,11,Rural,Concrete,Flat,0,1,14700,50000000
Industrial,470,6,Rural,Concrete,Pitched,0,1,8900,7002089
Residential,11393,14,Rural,Pile,Pitched,1,1,12600,50000000
Commercial,10232,11,Urban,Concrete,Flat,0,1,4600,50000000
Commercial,1975,12,Urban,Concrete,Dome,0,1,14600,50000000
Commercial,8488,1,Urban,Concrete,Flat,0,0,10500,24250293
Industrial,7716,1,Suburban,Slab,Dome,1,1,12300,32453672
Industrial,11794,15,Rural,Concrete,Flat,1,0,13800,50000000
Commercial,3542,14,Suburban,Pile,Dome,0,0,11600,50000000
Commercial,12502,3,Rural,Pile,Flat,1,0,4200,50000000
Residential,8970,6,Urban,Slab,Dome,0,1,7800,50000000
Residential,7071,4,Urban,Pile,Dome,1,1,4600,50000000
Residential,8512,11,Rural,Concrete,Pitched,0,1,10200,50000000
Residential,14330,12,Rural,Slab,Flat,1,1,6700,50000000
Industrial,999,1,Suburban,Pile,Pitched,0,1,8400,3697592
Residential,2272,16,Rural,Slab,Pitched,1,1,9600,50000000
Residential,8382,2,Suburban,Concrete,Pitched,1,1,13900,50000000
Industrial,1480,19,Suburban,Slab,Dome,0,1,13600,50000000
Residential,9004,4,Suburban,Concrete,Pitched,1,1,7400,50000000
Industrial,5570,19,Suburban,Slab,Pitched,1,1,14000,50000000
Industrial,9314,4,Rural,Slab,Flat,0,1,5400,50000000
Industrial,4840,7,Urban,Slab,Flat,0,0,14200,50000000
Industrial,4489,14,Urban,Slab,Flat,0,1,11900,50000000
Industrial,11600,4,Suburban,Concrete,Dome,0,1,9100,50000000
Residential,7453,15,Suburban,Concrete,Pitched,0,0,9900,50000000
Residential,10304,12,Rural,Concrete,Dome,0,1,5500,50000000
Industrial,7920,14,Rural,Concrete,Pitched,0,1,14100,50000000
Industrial,10162,20,Suburban,Pile,Dome,0,1,14000,50000000
Residential,1564,11,Suburban,Concrete,Flat,0,0,4900,29235285
Industrial,3328,11,Urban,Pile,Flat,1,0,10800,50000000
Industrial,2216,16,Urban,Slab,Pitched,1,1,11400,50000000
Commercial,11069,6,Urban,Slab,Flat,0,0,10700,50000000
Residential,2640,15,Suburban,Slab,Flat,1,1,3000,50000000
Commercial,6423,5,Rural,Slab,Dome,1,0,12300,50000000
Residential,5098,13,Suburban,Concrete,Flat,1,1,6100,50000000
Commercial,7964,1,Suburban,Concrete,Pitched,0,1,8600,21138593
Residential,11304,9,Suburban,Concrete,Dome,0,1,11600,50000000
Commercial,9482,5,Suburban,Pile,Dome,1,1,10300,50000000
Residential,13425,17,Suburban,Slab,Dome,0,1,12800,50000000
Industrial,1710,9,Rural,Pile,Pitched,0,0,7300,31409508
Industrial,4641,18,Urban,Slab,Pitched,1,0,14000,50000000
Commercial,8551,3,Suburban,Pile,Flat,1,1,14300,50000000
Residential,7750,15,Suburban,Concrete,Dome,0,1,14500,50000000
Residential,7020,6,Suburban,Concrete,Flat,0,1,10900,50000000
Commercial,8861,12,Suburban,Pile,Pitched,0,0,10900,50000000
Industrial,12922,4,Rural,Slab,Dome,1,0,13100,50000000
Residential,10783,15,Suburban,Concrete,Flat,0,1,9900,50000000
Industrial,1279,8,Rural,Slab,Dome,0,0,3400,21162115
Commercial,11784,7,Suburban,Concrete,Dome,0,1,11600,50000000
Industrial,12936,5,Rural,Slab,Dome,1,0,4500,50000000
Commercial,13057,8,Suburban,Slab,Pitched,1,0,14000,50000000
Commercial,14903,7,Suburban,Pile,Pitched,0,0,11000,50000000
Residential,10347,3,Rural,Slab,Flat,0,1,7100,50000000
Residential,8039,15,Suburban,Concrete,Dome,0,1,6400,50000000
Residential,14242,15,Rural,Slab,Pitched,1,0,6100,50000000
Industrial,4561,16,Suburban,Concrete,Flat,0,0,4000,50000000
Commercial,13423,12,Rural,Slab,Dome,1,1,8900,50000000
Commercial,591,13,Rural,Pile,Dome,1,1,8200,19888964
Commercial,5641,17,Suburban,Slab,Pitched,0,0,13900,50000000
Residential,5349,7,Rural,Slab,Pitched,0,1,12300,50000000
Commercial,1696,20,Rural,Slab,Dome,0,1,14000,50000000
Residential,14602,9,Suburban,Concrete,Dome,1,0,4900,50000000
Industrial,428,10,Suburban,Concrete,Flat,1,1,8800,11439782
Commercial,9072,13,Suburban,Concrete,Flat,1,1,6300,50000000
Industrial,5981,18,Rural,Slab,Pitched,0,1,3600,50000000
Commercial,8409,7,Urban,Concrete,Flat,1,1,10200,50000000
Commercial,2805,12,Suburban,Slab,Pitched,0,1,7900,50000000
Industrial,2779,7,Urban,Slab,Pitched,0,1,7700,50000000
Commercial,12885,19,Rural,Pile,Flat,0,1,4800,50000000
Industrial,2371,6,Suburban,Pile,Pitched,1,1,7200,36100973
Commercial,7709,8,Suburban,Pile,Pitched,0,1,4400,50000000
Industrial,8920,16,Suburban,Slab,Flat,0,1,8300,50000000
Industrial,8585,4,Suburban,Slab,Pitched,1,1,14300,50000000
Commercial,12372,4,Suburban,Concrete,Flat,0,1,9200,50000000
Residential,1341,11,Rural,Slab,Pitched,0,0,4500,32664727
Residential,12357,5,Rural,Concrete,Pitched,1,1,13900,50000000
Industrial,7283,4,Rural,Concrete,Dome,1,1,14800,50000000
Residential,2268,7,Urban,Pile,Pitched,0,1,11500,46382830
Residential,566,18,Suburban,Pile,Pitched,0,1,8400,23009107
Commercial,13105,19,Suburban,Slab,Flat,1,1,8800,50000000
Industrial,4230,11,Suburban,Concrete,Flat,0,0,7300,50000000
Industrial,11532,9,Rural,Slab,Pitched,0,0,3000,50000000
Industrial,9272,17,Rural,Slab,Pitched,0,1,8000,50000000
Industrial,4987,15,Suburban,Pile,Pitched,0,1,5900,50000000
Commercial,5628,13,Rural,Slab,Dome,1,1,10300,50000000
Residential,12982,4,Suburban,Pile,Dome,0,1,9700,50000000
Residential,4425,15,Suburban,Pile,Pitched,1,1,5500,50000000
Commercial,11872,10,Urban,Concrete,Flat,0,0,7500,50000000
Industrial,11439,20,Rural,Concrete,Dome,1,1,5900,50000000
Residential,1740,10,Suburban,Slab,Flat,1,1,9900,31619807
Commercial,9064,10,Suburban,Slab,Flat,1,1,8600,50000000
Commercial,5726,15,Urban,Pile,Dome,0,1,7900,50000000
Industrial,6452,5,Rural,Concrete,Dome,1,0,8800,50000000
Residential,14197,15,Rural,Concrete,Pitched,0,1,11700,50000000
Industrial,14608,10,Urban,Slab,Pitched,0,0,7900,50000000
Industrial,3509,2,Rural,Slab,Pitched,0,1,5800,17193350
Residential,5012,5,Urban,Concrete,Pitched,0,1,9300,50000000
Industrial,14519,1,Rural,Pile,Flat,0,1,8100,27914171
Industrial,14296,5,Suburban,Pile,Flat,1,1,4900,50000000
